"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"2220-01_1","2220-HGTFS","Route 01 1","","","3","","","","","",""
"2220-01_2","2220-HGTFS","Route 01 2","","","3","","","","","",""
"2220-02_1","2220-HGTFS","Route 02 1","","","3","","","","","",""
"2220-02_2","2220-HGTFS","Route 02 2","","","3","","","","","",""
"2220-03A_1","2220-HGTFS","Route 03a 1","","","3","","","","","",""
"2220-03A_2","2220-HGTFS","Route 03a 2","","","3","","","","","",""
"2220-03B_1","2220-HGTFS","Route 03b 1","","","3","","","","","",""
"2220-03B_2","2220-HGTFS","Route 03b 2","","","3","","","","","",""
"2220-04_1","2220-HGTFS","Route 04 1","","","3","","","","","",""
"2220-04_2","2220-HGTFS","Route 04 2","","","3","","","","","",""
"2220-05_1","2220-HGTFS","Route 05 1","","","3","","","","","",""
"2220-05_2","2220-HGTFS","Route 05 2","","","3","","","","","",""
"2220-06A_1","2220-HGTFS","Route 06a 1","","","3","","","","","",""
"2220-06A_2","2220-HGTFS","Route 06a 2","","","3","","","","","",""
"2220-06B_1","2220-HGTFS","Route 06b 1","","","3","","","","","",""
"2220-06B_2","2220-HGTFS","Route 06b 2","","","3","","","","","",""
"2220-06C_1","2220-HGTFS","Route 06c 1","","","3","","","","","",""
"2220-06C_2","2220-HGTFS","Route 06c 2","","","3","","","","","",""
"2220-06D_1","2220-HGTFS","Route 06d 1","","","3","","","","","",""
"2220-06D_2","2220-HGTFS","Route 06d 2","","","3","","","","","",""
"2220-06E_1","2220-HGTFS","Route 06e 1","","","3","","","","","",""
"2220-06E_2","2220-HGTFS","Route 06e 2","","","3","","","","","",""
"2220-07_1","2220-HGTFS","Route 07 1","","","3","","","","","",""
"2220-07_2","2220-HGTFS","Route 07 2","","","3","","","","","",""
"2220-08A_1","2220-HGTFS","Route 08a 1","","","3","","","","","",""
"2220-08A_2","2220-HGTFS","Route 08a 2","","","3","","","","","",""
"2220-08B_1","2220-HGTFS","Route 08b 1","","","3","","","","","",""
"2220-08B_2","2220-HGTFS","Route 08b 2","","","3","","","","","",""
"2220-09_1","2220-HGTFS","Route 09 1","","","3","","","","","",""
"2220-09_2","2220-HGTFS","Route 09 2","","","3","","","","","",""
"2220-10A_1","2220-HGTFS","Route 10a 1","","","3","","","","","",""
"2220-10A_2","2220-HGTFS","Route 10a 2","","","3","","","","","",""
"2220-10B_1","2220-HGTFS","Route 10b 1","","","3","","","","","",""
"2220-10B_2","2220-HGTFS","Route 10b 2","","","3","","","","","",""
"2220-11_1","2220-HGTFS","Route 11 1","","","3","","","","","",""
"2220-11_2","2220-HGTFS","Route 11 2","","","3","","","","","",""
"2220-12_1","2220-HGTFS","Route 12 1","","","3","","","","","",""
"2220-12_2","2220-HGTFS","Route 12 2","","","3","","","","","",""
"2220-13_1","2220-HGTFS","Route 13 1","","","3","","","","","",""
"2220-13_2","2220-HGTFS","Route 13 2","","","3","","","","","",""
"2220-14_1","2220-HGTFS","Route 14 1","","","3","","","","","",""
"2220-14_2","2220-HGTFS","Route 14 2","","","3","","","","","",""
"2220-15_1","2220-HGTFS","Route 15 1","","","3","","","","","",""
"2220-15_2","2220-HGTFS","Route 15 2","","","3","","","","","",""
"2220-16_1","2220-HGTFS","Route 16 1","","","3","","","","","",""
"2220-16_2","2220-HGTFS","Route 16 2","","","3","","","","","",""
"2220-17_1","2220-HGTFS","Route 17 1","","","3","","","","","",""
"2220-17_2","2220-HGTFS","Route 17 2","","","3","","","","","",""
"2220-18_1","2220-HGTFS","Route 18 1","","","3","","","","","",""
"2220-18_2","2220-HGTFS","Route 18 2","","","3","","","","","",""
"2220-19_1","2220-HGTFS","Route 19 1","","","3","","","","","",""
"2220-19_2","2220-HGTFS","Route 19 2","","","3","","","","","",""
"2220-20A_1","2220-HGTFS","Route 20a 1","","","3","","","","","",""
"2220-20A_2","2220-HGTFS","Route 20a 2","","","3","","","","","",""
"2220-20B_1","2220-HGTFS","Route 20b 1","","","3","","","","","",""
"2220-20B_2","2220-HGTFS","Route 20b 2","","","3","","","","","",""
"2220-20C_1","2220-HGTFS","Route 20c 1","","","3","","","","","",""
