"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2220-01_1_S6","","Stop 01 1 S6","21.037449","105.846857","","","0","","","","0","",""
"2220-01_1_S7","","Stop 01 1 S7","21.031316","105.847041","","","0","","","","0","",""
"2220-01_1_S8","","Stop 01 1 S8","21.02685","105.847457","","","0","","","","0","",""
"2220-01_1_S10","","Stop 01 1 S10","21.025799","105.841261","","","0","","","","0","",""
"2220-01_1_S12","","Stop 01 1 S12","21.019377","105.837823","","","0","","","","0","",""
"2220-01_1_S13","","Stop 01 1 S13","21.019613","105.833925","","","0","","","","0","",""
"2220-01_1_S14","","Stop 01 1 S14","21.01606","105.828116","","","0","","","","0","",""
"2220-01_1_S15","","Stop 01 1 S15","21.01135","105.825174","","","0","","","","0","",""
"2220-01_2_S22","","Stop 01 2 S22","21.010567","105.824891","","","0","","","","0","",""
"2220-01_2_S23","","Stop 01 2 S23","21.01712","105.828864","","","0","","","","0","",""
"2220-01_2_S24","","Stop 01 2 S24","21.019537","105.833231","","","0","","","","0","",""
"2220-01_2_S25","","Stop 01 2 S25","21.019183","105.838374","","","0","","","","0","",""
"2220-01_2_S26","","Stop 01 2 S26","21.023583","105.843891","","","0","","","","0","",""
"2220-01_2_S27","","Stop 01 2 S27","21.024116","105.844641","","","0","","","","0","",""
"2220-01_2_S28","","Stop 01 2 S28","21.029616","105.846354","","","0","","","","0","",""
"2220-01_2_S29","","Stop 01 2 S29","21.035433","105.845641","","","0","","","","0","",""
"2220-01_2_S30","","Stop 01 2 S30","21.038649","105.846407","","","0","","","","0","",""
"2220-01_2_S35","","Stop 01 2 S35","21.048408","105.878335","","","0","","","","0","",""
"2220-02_1_S10","","Stop 02 1 S10","21.029699","105.842224","","","0","","","","0","",""
"2220-02_1_S11","","Stop 02 1 S11","21.031283","105.839207","","","0","","","","0","",""
"2220-02_1_S12","","Stop 02 1 S12","21.031252","105.835916","","","0","","","","0","",""
"2220-02_1_S13","","Stop 02 1 S13","21.027449","105.833691","","","0","","","","0","",""
"2220-02_1_S14","","Stop 02 1 S14","21.025033","105.832641","","","0","","","","0","",""
"2220-02_1_S15","","Stop 02 1 S15","21.020243","105.83036","","","0","","","","0","",""
"2220-02_2_S24","","Stop 02 2 S24","21.02021","105.83057","","","0","","","","0","",""
"2220-02_2_S25","","Stop 02 2 S25","21.024203","105.832358","","","0","","","","0","",""
"2220-02_2_S26","","Stop 02 2 S26","21.028866","105.834708","","","0","","","","0","",""
"2220-02_2_S27","","Stop 02 2 S27","21.029783","105.838791","","","0","","","","0","",""
"2220-02_2_S28","","Stop 02 2 S28","21.028611","105.842824","","","0","","","","0","",""
"2220-02_2_S29","","Stop 02 2 S29","21.02625","105.846541","","","0","","","","0","",""
"2220-02_2_S30","","Stop 02 2 S30","21.02525","105.849974","","","0","","","","0","",""
"2220-02_2_S31","","Stop 02 2 S31","21.024066","105.853907","","","0","","","","0","",""
"2220-03A_1_S6","","Stop 03a 1 S6","21.005167","105.84136","","","0","","","","0","",""
"2220-03A_1_S7","","Stop 03a 1 S7","21.009635","105.841207","","","0","","","","0","",""
"2220-03A_1_S8","","Stop 03a 1 S8","21.014366","105.841291","","","0","","","","0","",""
"2220-03A_1_S10","","Stop 03a 1 S10","21.022159","105.8488","","","0","","","","0","",""
"2220-03A_1_S11","","Stop 03a 1 S11","21.0197","105.857274","","","0","","","","0","",""
"2220-03A_1_S12","","Stop 03a 1 S12","21.018633","105.860707","","","0","","","","0","",""
"2220-03A_1_S13","","Stop 03a 1 S13","21.022366","105.861324","","","0","","","","0","",""
"2220-03A_1_S14","","Stop 03a 1 S14","21.028416","105.858174","","","0","","","","0","",""
"2220-03A_1_S15","","Stop 03a 1 S15","21.032249","105.856273","","","0","","","","0","",""
"2220-03A_1_S16","","Stop 03a 1 S16","21.037816","105.85259","","","0","","","","0","",""
"2220-03A_1_S17","","Stop 03a 1 S17","21.042632","105.870607","","","0","","","","0","",""
"2220-03A_1_S18","","Stop 03a 1 S18","21.045932","105.875823","","","0","","","","0","",""
"2220-03A_1_S19","","Stop 03a 1 S19","21.049299","105.875807","","","0","","","","0","",""
"2220-03A_1_S20","","Stop 03a 1 S20","21.048142","105.878473","","","0","","","","0","",""
"2220-03A_2_S9","","Stop 03a 2 S9","21.01885","105.860407","","","0","","","","0","",""
"2220-03A_2_S10","","Stop 03a 2 S10","21.01975","105.857274","","","0","","","","0","",""
"2220-03A_2_S11","","Stop 03a 2 S11","21.020598","105.85434","","","0","","","","0","",""
"2220-03A_2_S12","","Stop 03a 2 S12","21.021752","105.850614","","","0","","","","0","",""
"2220-03A_2_S13","","Stop 03a 2 S13","21.0231","105.845857","","","0","","","","0","",""
"2220-03A_2_S14","","Stop 03a 2 S14","21.023535","105.84127","","","0","","","","0","",""
"2220-03A_2_S15","","Stop 03a 2 S15","21.015845","105.841176","","","0","","","","0","",""
"2220-03A_2_S16","","Stop 03a 2 S16","21.0104","105.841124","","","0","","","","0","",""
"2220-03A_2_S17","","Stop 03a 2 S17","21.005167","105.841041","","","0","","","","0","",""
"2220-03A_2_S18","","Stop 03a 2 S18","21.0012","105.841024","","","0","","","","0","",""
