"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"2220-01_1","2220-FULLW","2220-01_1_MD_1","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_2","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_3","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_4","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_5","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_6","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_7","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_8","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_9","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_10","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_11","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_12","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_13","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_14","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_15","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_16","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_17","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_18","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_19","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_20","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_21","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_22","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_23","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_24","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_25","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_26","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_27","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_28","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_29","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_30","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_31","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_32","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_33","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_34","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_35","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_36","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_37","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_38","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_39","Stop Brt01 2 S23","","","","","",""
"2220-01_1","2220-FULLW","2220-01_1_MD_40","Stop Brt01 2 S23","","","","","",""
